   76 Freia              7.90   0.15   141.98020   255.80566   204.71902    2.11738   0.1644401   0.15638643   3.4119554
   77 Frigga             8.52   0.16   321.00207    61.12404     1.38892    2.43420   0.1306941   0.22606381   2.6687959
   78 Diana              8.09   0.08   306.54941   151.64265   333.62978    8.68641   0.2069026   0.23242218   2.6198977
   79 Eurynome           7.96   0.25    18.51264   200.39208   206.87685    4.62143   0.1915853   0.25784426   2.4447309
   80 Sappho             7.98   0.15    47.97195   139.05683   218.91033    8.66535   0.2002280   0.28336447   2.2956506
   81 Terpsichore        8.48   0.15   194.11009    50.49611     1.56266    7.82221   0.2124759   0.20474456   2.8509819
   82 Alkmene            8.40   0.28   301.60579   110.65469    25.68815    2.83340   0.2237995   0.21499228   2.7596509
   83 Beatrix            8.66   0.15     5.51390   166.06616    27.85398    4.97234   0.0824354   0.25992627   2.4316586
   84 Klio               9.32   0.15   149.95230    14.63078   327.82604    9.34048   0.2369190   0.27140994   2.3625747
   85 Io                 7.61   0.15   242.26675   122.81288   203.49086   11.96818   0.1909474   0.22787753   2.6546160
   86 Semele             8.54   0.15    37.40013   304.76261    87.09917    4.80259   0.2047973   0.17918506   3.1160292
   87 Sylvia             6.94   0.15   346.22671   269.58231    73.59336   10.84337   0.0821595   0.15057218   3.4992332
   88 Thisbe             7.04   0.14   181.36127    34.95506   276.92525    5.22210   0.1618539   0.21384670   2.7694978
   89 Julia              6.60   0.15    51.43262    44.49522   311.71773   16.14117   0.1818718   0.24198053   2.5504438
   90 Antiope            8.27   0.15   221.20248   237.95219    70.75405    2.23341   0.1557426   0.17577868   3.1561568
   91 Aegina             8.84   0.15   123.54383    73.19482    10.96681    2.11665   0.1058521   0.23648886   2.5897763
   92 Undina             6.61   0.15   264.49358   244.47906   102.05458    9.89874   0.0950091   0.17287179   3.1914396
   93 Minerva            7.70   0.15   237.23393   273.36972     4.57300    8.56186   0.1405311   0.21550065   2.7553091
   94 Aurora             7.57   0.15    24.65723    56.65836     2.86893    7.98272   0.0827172   0.17533834   3.1614389
   95 Arethusa           7.84   0.15    83.11716   154.15122   243.46840   12.98167   0.1445543   0.18304460   3.0720724
   96 Aegle              7.67   0.15   109.64702   203.98959   322.32004   16.02242   0.1364744   0.18480131   3.0525728
   97 Klotho             7.63   0.15   348.18680   268.74304   159.82413   11.77771   0.2556273   0.22605370   2.6688754
   98 Ianthe             8.84   0.15   180.69422   157.83953   354.18922   15.60298   0.1872127   0.22325632   2.6911229
   99 Dike               9.43   0.15   277.45054   194.76070    41.87422   13.90254   0.1993886   0.22693368   2.6619716
  100 Hekate             7.67   0.15   272.10626   185.23909   127.71167    6.40316   0.1569084   0.18064747   3.0991894
